Id,Start time,Completion time,Email,Name,"Are you an international student at NTHU?
36,2025/12/19 21:08,2025/12/19 21:10,anonymous,,Yes,20-24,Male,Undergraduate ;,Monthly,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral ,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly agree,Neutral,Neutral,Disagree,Neutral ,Disagree,Neutral 
37,2025/12/19 21:11,2025/12/19 21:13,anonymous,,Yes,20-24,Male,Master's;,Weekly,Neutral,Neutral,Neutral,Neutral,Neutral ,Neutral ,Neutral ,Neutral ,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
38,2025/12/19 23:06,2025/12/19 23:12,anonymous,,Yes,25-29,Male,PhD;,Daily,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral ,Neutral ,Neutral ,Neutral ,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree
39,2025/12/21 19:55,2025/12/21 19:58,anonymous,,Yes,30+,Male,Master's;,Weekly,Neutral,Neutral,Neutral,Agree,Disagree,Neutral ,Neutral ,Neutral ,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral ,Neutral ,Agree,Agree,Neutral,Agree,Neutral ,Neutral ,Neutral ,Neutral 
40,2025/12/22 19:30,2025/12/22 19:36,anonymous,,Yes,Under 20,Male,Undergraduate ;,Weekly,Agree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral ,Neutral ,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral ,Neutral 
41,2025/12/22 20:55,2025/12/22 20:59,anonymous,,Yes,30+,Male,Master's;,Rarely,Strongly Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral ,Neutral ,Neutral ,Agree
42,2025/12/22 23:28,2025/12/22 23:31,anonymous,,Yes,25-29,Male,Master's;,Monthly,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Neutral ,Neutral ,Neutral ,Neutral ,Agree,Agree,Neutral,Neutral,Neutral ,Neutral ,Agree,Neutral 
43,2025/12/23 02:00,2025/12/23 02:02,anonymous,,Yes,20-24,Female,Master's;,Daily,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree
44,2025/12/23 02:03,2025/12/23 02:05,anonymous,,Yes,25-29,Male,Master's;,Weekly,Agree,Agree,Agree,Neutral,Agree,Neutral ,Neutral ,Agree,Neutral,Agree,Agree,Neutral ,Agree,Neutral ,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree
45,2025/12/23 18:03,2025/12/23 18:04,anonymous,,Yes,25-29,Male,PhD;,Weekly,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral ,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree
46,2025/12/23 18:05,2025/12/23 18:06,anonymous,,Yes,25-29,Female,Master's;,Daily,Agree,Neutral,Neutral,Agree,Strongly Agree,Neutral ,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree
47,2025/12/23 18:07,2025/12/23 18:08,anonymous,,Yes,20-24,Male,Master's;,Daily,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
48,2025/12/23 18:09,2025/12/23 18:10,anonymous,,Yes,20-24,Female,Master's;,Daily,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral 
49,2025/12/23 18:10,2025/12/23 18:11,anonymous,,Yes,Under 20,Female,Undergraduate ;,Weekly,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree
50,2025/12/23 18:11,2025/12/23 18:12,anonymous,,Yes,Under 20,Male,Undergraduate ;,Daily,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral ,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral ,Neutral ,Agree,Agree,Strongly agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree
51,2025/12/23 18:12,2025/12/23 18:13,anonymous,,Yes,Under 20,Female,Undergraduate ;,Daily,Agree,Neutral,Agree,Agree,Agree,Neutral ,Agree,Agree,Agree,Agree,Agree,Neutral ,Neutral ,Disagree,Neutral ,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral ,Agree
52,2025/12/23 18:13,2025/12/23 18:14,anonymous,,Yes,Under 20,Female,Undergraduate ;,Daily,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Neutral ,Neutral ,Neutral 
53,2025/12/23 18:14,2025/12/23 18:15,anonymous,,Yes,Under 20,Female,Undergraduate ;,Daily,Disagree,Disagree,Neutral,Neutral,Agree,Neutral ,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral ,Neutral ,Neutral ,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
54,2025/12/23 18:14,2025/12/23 18:15,anonymous,,Yes,20-24,Female,Master's;,Weekly,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree
55,2025/12/23 18:15,2025/12/23 18:16,anonymous,,Yes,Under 20,Male,Undergraduate ;,Weekly,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral ,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral ,Disagree,Strongly agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Neutral ,Disagree
56,2025/12/23 18:15,2025/12/23 18:16,anonymous,,Yes,25-29,Female,Master's;,Weekly,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral ,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral ,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly Agree,Neutral ,Neutral 
57,2025/12/23 18:16,2025/12/23 18:17,anonymous,,Yes,25-29,Female,Master's;,Weekly,Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral ,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral ,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Strongly Agree,Neutral ,Agree
58,2025/12/23 18:16,2025/12/23 18:17,anonymous,,Yes,25-29,Female,Undergraduate ;,Weekly,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Neutral ,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral ,Neutral ,Strongly agree,Agree,Neutral,Disagree,Disagree,Neutral ,Agree,Agree
59,2025/12/23 18:17,2025/12/23 18:18,anonymous,,Yes,25-29,Male,Undergraduate ;,Daily,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral ,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral 
60,2025/12/23 18:17,2025/12/23 18:18,anonymous,,Yes,25-29,Female,Master's;,Weekly,Agree,Neutral,Agree,Neutral,Agree,Neutral ,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral ,Agree,Strongly Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree
61,2025/12/23 18:18,2025/12/23 18:18,anonymous,,Yes,20-24,Female,Master's;,Weekly,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree
62,2025/12/23 18:20,2025/12/23 18:21,anonymous,,Yes,30+,Female,Master's;,Weekly,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
63,2025/12/23 18:20,2025/12/23 18:21,anonymous,,Yes,25-29,Female,Master's;,Weekly,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Neutral ,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Neutral ,Agree,Strongly agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree
64,2025/12/23 18:21,2025/12/23 18:22,anonymous,,Yes,25-29,Female,Undergraduate ;,Weekly,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
65,2025/12/23 22:31,2025/12/23 22:34,anonymous,,Yes,25-29,Male,Master's;,Weekly,Agree,Agree,Agree,Agree,Neutral ,Agree,Agree,Neutral ,Agree,Agree,Agree,Neutral ,Agree,Neutral ,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree
66,2026/1/3 21:45,2026/1/3 21:50,anonymous,,Yes,20-24,Female,Undergraduate ;,Weekly,Agree,Agree,Neutral,Neutral,Agree,Neutral ,Neutral ,Agree,Neutral,Neutral,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral 
67,2026/1/3 21:45,2026/1/3 21:50,anonymous,,Yes,20-24,Female,Undergraduate ;,Weekly,Agree,Neutral,Agree,Neutral,Agree,Neutral ,Disagree,Neutral ,Disagree,Neutral,Agree,Neutral ,Disagree,Neutral ,Disagree,Neutral,Agree,Neutral,Neutral,Neutral ,Neutral ,Disagree,Disagree
68,2026/1/15 19:28,2026/1/15 19:30,anonymous,,Yes,20-24,Male,Undergraduate ;,Daily,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral ,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,Neutral ,Disagree,Neutral,Strongly agree,Disagree,Agree,Disagree,Neutral ,Disagree,Disagree
69,2026/3/3 22:13,2026/3/3 22:17,anonymous,,Yes,20-24,Female,Undergraduate ,Daily,Agree,Agree,Agree,Agree,Neutral ,Neutral ,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral ,Agree
70,2026/3/10 03:29,2026/3/10 03:33,anonymous,,Yes,25-29,Female,Master's,Daily,Agree,Agree,Agree,Strongly Agree,Neutral ,Neutral ,Neutral ,Neutral ,Disagree,Neutral,Neutral,Neutral ,Strongly Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree
71,2026/3/10 21:07,2026/3/10 21:11,anonymous,,Yes,20-24,Male,Undergraduate ,Weekly,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Neutral ,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Neutral ,Disagree
72,2026/3/10 21:15,2026/3/10 21:17,anonymous,,Yes,25-29,Male,PhD,Daily,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral ,Agree,Strongly Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
73,2026/3/10 21:45,2026/3/10 21:50,anonymous,,Yes,20-24,Female,Undergraduate ,Monthly,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral ,Agree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Neutral ,Disagree
74,2026/3/10 21:50,2026/3/10 21:55,anonymous,,Yes,30+,Male,Master's,Rarely,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral ,Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree
75,2026/3/10 21:50,2026/3/10 21:56,anonymous,,Yes,25-29,Male,Master's,Rarely,Neutral,Disagree,Agree,Strongly Agree,Neutral ,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree
76,2026/3/13 11:58,2026/3/13 12:01,anonymous,,Yes,25-29,Female,Master's,Rarely,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Agree,Agree,Neutral,Neutral ,Neutral ,Disagree,Neutral 
77,2026/3/24 01:17,2026/3/24 01:23,anonymous,,Yes,25-29,Female,Master's,Weekly,Agree,Agree,Agree,Agree,Neutral ,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly Agree
